"Url","Product ID","Titel","Plaatje","Omschrijving","Category Pad","SubCategory","Prijs","Merk","Levertijd","Oude prijs","Kleur","Product maten","Voorraad","Materiaal","Top product","Geslacht","Plaatje 2"
"https://www.jemappelle.nl/la-robe-collar-9888","8775","La Robe Collar ","https://www.jemappelle.nl/media/catalog/product/1/6/1676.31.jpg","Heerlijk jurkje in frisse zwart witte streep en met charmant kraagje. Gemaakt van comfortabele katoen met een beetje elastan, dus draagt heerlijk luchtig en hoeft niet gestreken te worden. De A-line geeft het jurkje een play-full karakter.","★ SALE ★ > SALE €10","SALE €10","22,49","Je m appelle","","44,98","","","0","95% Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-robe-casual","8847","La Robe l'Eau","https://www.jemappelle.nl/media/catalog/product/1/6/1624.2_1_3.jpg","Dit is zo'n jurkje dat altijd goed is. Heerlijk voor de zomer, niet te warm, fantastische stof, mooie print en neemt ook nog eens weinig ruimte in in je koffer.
","★ SALE ★ > SALE €5","SALE €5","24,98","Je m appelle","","41,98","","","0","95% Katoen / 5% Elastan","","","",
"https://www.jemappelle.nl/la-tunic-dress-autumn-grey","9106","La Shirt Dress Dark Grey","https://www.jemappelle.nl/media/catalog/product/j/1/j1782.jpg","Prachtige autumn grey tuniek van heerlijk zacht katoen met een beetje elastan. Combineer met onze legging of draag het open op een mooie denim. De prints op de mouwen maakt deze tuniek helemaal af.

","","Jemappelle","26,98","Je m appelle","","54,98","","","0","95% Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/le-hoodie","9187","Le Hoodie Middle Grey","https://www.jemappelle.nl/media/catalog/product/1/7/1763.p1.jpg","Heerlijke grey melange/wit gestreepte hoodie met capuchon en comfortabele zakken. Gemaakt van brushed sweatstof met een beetje elastan. Mix en match eenvoudig met onze andere sportstyles. 
","Sweaters & Vesten","Sweaters & Vesten","39,98","Je m appelle","","51,98","","","0","95% Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/le-halter-top-noir","9193","Le Halter Top Noir","https://www.jemappelle.nl/media/catalog/product/1/7/1756.p1.jpg","Heerlijk sportief zwart hemdje van comfortabel katoen met een beetje elastan. Dit basic hemdje mix en match je eenvoudig met onze andere sportstyles. ","Tops & Tanktops","Tops & Tanktops","12,98","Je m appelle","","24,98","","","0","95% Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/le-jogger-noir","9199","Le Jogger Noir","https://www.jemappelle.nl/media/catalog/product/1/7/1772.p1.jpg","Deze zwarte jogger is een van onze favorieten. Heerlijk om in te sporten of te chillen. Op de knieën leuke starpatches voor net dat beetje extra. Met heerlijke elastische waistband. Gemaakt van brushed sweatstof met een beetje elastan. ","","Jemappelle","22,49","Je m appelle","","49,98","","","0","95% Brushed Katoen / 5% Elasthan","","","",
"https://www.jemappelle.nl/la-robe-comfy-deep-green","9282","La Robe Comfy Deep Green ","https://www.jemappelle.nl/media/catalog/product/1/7/1796.2.jpg","Dit prachtige jurkje met A lijn is charmant en flatterend voor elk figuur. Een tijdloze must-have die je het hele jaar door draagt. Combineer het jurkje met een mooie hak voor een chiquere uitstraling of een sneaker voor een meer casual look. Ook super in combinatie met mooie legging of skinny. ","","Jemappelle","18,98","Je m appelle","","48,98","","","0","95% Polyester / 5% Elastan","","","",
"https://www.jemappelle.nl/la-strapped-tank-navy-11770","9304","La Strapped Tank Navy","https://www.jemappelle.nl/media/catalog/product/1/8/1804.4.jpg","Prachtig navy hemdje met charmante bandjes. Mooi om te combineren met onze jurkjes, maar ook super op onze lace sweaters en onder ons colbert. Gemaakt van een heerlijke katoen met een beetje elastan.","Tops & Tanktops","Tops & Tanktops","19,98","Je m appelle","","28,98","","","0","92% Katoen / 8% Elasthan ","","","",
"https://www.jemappelle.nl/la-strapped-tank-noir-11916","9310","La Strapped Tank Noir","https://www.jemappelle.nl/media/catalog/product/1/8/1804.x1.jpg","Prachtig zwart hemdje met charmante bandjes. Mooi om te combineren met onze jurkjes, maar ook super onder ons colbert. Gemaakt van een heerlijke katoen met een beetje elastan.","","Jemappelle","19,98","Je m appelle","","28,98","","","0","92% Katoen / 8% Elasthan ","","","",
"https://www.jemappelle.nl/la-easy-jacket-stripes-noir","9360","La Easy Jacket Stripes Noir","https://www.jemappelle.nl/media/catalog/product/1/7/1790.9.jpg","Dit is een van de bestsellers van Je m'appelle. Prachtig getailleerd navy jasje dat je combineert onze Easy Pant of onze denim. Omdat er in de brushed sweatstof ook elastan zit, draagt het extra lekker en blijft het mooi in model. De kraag heeft een mooi contrast streepje.","★ SALE ★","★ SALE ★","39,98","Je m appelle","","54,98","","","0","95% Katoen / 5% Elasthan","","","",
